animal.id	cage	experiment.date	sex	experimental.group	tissue	dilution.factor	homogenate.volume	plated.volume	tissue.weight	no.cfu
F1	G9	2016.01.13	M	Control	lung	10	3	0.04	0.0414	52
R1	G9	2016.01.13	M	Treatment	lung	10	3	0.04	0.0449	0
F2	G9	2016.01.13	M	Control	lung	10	3	0.04	0.0502	52
R2	G9	2016.01.13	M	Treatment	lung	10	3	0.04	0.0586	22
R3	G9	2016.01.13	F	Treatment	lung	10	3	0.04	0.023	5
F4	G9	2016.01.13	M	Control	lung	10	3	0.04	0.0301	22
R4	G9	2016.01.13	M	Treatment	lung	10	3	0.04	0.0308	3
R1	G8	2016.01.16	M	Treatment	lung	10	3	0.04	0.0598	0
R2	G8	2016.01.16	M	Treatment	lung	10	3	0.04	0.0332	0
F3	G8	2016.01.16	M	Control	lung	10	3	0.04	0.0246	1
R3	G8	2016.01.16	M	Treatment	lung	10	3	0.04	0.0263	28
F1	G9	2016.01.16	F	Treatment	lung	10	3	0.04	0.0768	6
F2	G9	2016.01.16	M	Treatment	lung	10	3	0.04	0.093	11
F3	G9	2016.01.16	F	Treatment	lung	10	3	0.04	0.0547	32
F4	G9	2016.01.16	M	Treatment	lung	10	3	0.04	0.0633	2
F5	G9	2016.01.16	F	Treatment	lung	10	3	0.04	0.0857	13
F3	G9	2016.01.13	F	Control	lung	100	3	0.04	0.049	15
F1	G8	2016.01.16	M	Control	lung	100	3	0.04	0.0285	2
F2	G8	2016.01.16	F	Control	lung	100	3	0.04	0.0247	8
R1	G9	2016.01.16	M	Control	lung	100	3	0.04	0.1142	18
R2	G9	2016.01.16	F	Control	lung	100	3	0.04	NA	39
R3	G9	2016.01.16	M	Control	lung	100	3	0.04	0.059	30
R4	G9	2016.01.16	F	Control	lung	100	3	0.04	0.0636	41
R5	G9	2016.01.16	M	Control	lung	100	3	0.04	0.0341	41
R1	G7	2016.01.12	F	Treatment	spleen	10	0.3	0.04	0.0151	0
R2	G7	2016.01.12	F	Treatment	spleen	10	0.3	0.04	0.0079	0
R3	G7	2016.01.12	M	Treatment	spleen	10	0.3	0.04	0.0147	0
R4	G7	2016.01.12	F	Treatment	spleen	10	0.3	0.04	0.0162	8
F1	G9	2016.01.13	M	Control	spleen	10	0.3	0.04	0.015	60
R1	G9	2016.01.13	M	Treatment	spleen	10	0.3	0.04	0.019	0
R2	G9	2016.01.13	M	Treatment	spleen	10	0.3	0.04	0.0125	0
R3	G9	2016.01.13	F	Treatment	spleen	10	0.3	0.04	0.0072	0
R1	G8	2016.01.16	M	Treatment	spleen	10	0.3	0.04	0.0055	9
R2	G8	2016.01.16	M	Treatment	spleen	10	0.3	0.04	0.0042	3
R3	G8	2016.01.16	M	Treatment	spleen	10	0.3	0.04	0.0097	6
F1	G9	2016.01.16	F	Treatment	spleen	10	0.3	0.04	0.0144	55
F2	G9	2016.01.16	M	Treatment	spleen	10	0.3	0.04	0.0096	27
F3	G9	2016.01.16	F	Treatment	spleen	10	0.3	0.04	0.0097	4
F4	G9	2016.01.16	M	Treatment	spleen	10	0.3	0.04	0.016	0
F5	G9	2016.01.16	F	Treatment	spleen	10	0.3	0.04	0.0152	1
F2	G9	2016.01.13	M	Control	spleen	100	0.3	0.04	0.0182	48
F4	G9	2016.01.13	M	Control	spleen	100	0.3	0.04	0.0047	12
R4	G9	2016.01.13	M	Treatment	spleen	100	0.3	0.04	0.0056	14
F1	G7	2016.01.12	F	Control	spleen	1000	0.3	0.04	0.0087	25
F2	G7	2016.01.12	M	Control	spleen	1000	0.3	0.04	0.0121	34
F3	G7	2016.01.12	F	Control	spleen	1000	0.3	0.04	0.0146	63
F4	G7	2016.01.12	M	Control	spleen	1000	0.3	0.04	0.0264	10
F3	G9	2016.01.13	F	Control	spleen	1000	0.3	0.04	0.016	19
F1	G8	2016.01.16	M	Control	spleen	1000	0.3	0.04	0.0153	33
F2	G8	2016.01.16	F	Control	spleen	1000	0.3	0.04	0.0032	42
F3	G8	2016.01.16	M	Control	spleen	1000	0.3	0.04	0.0048	23
R3	G9	2016.01.16	M	Control	spleen	1000	0.3	0.04	0.013	35
R1	G9	2016.01.16	M	Control	spleen	10000	0.3	0.04	0.0311	48
R2	G9	2016.01.16	F	Control	spleen	10000	0.3	0.04	0.0141	48
R4	G9	2016.01.16	F	Control	spleen	10000	0.3	0.04	0.0124	20
R5	G9	2016.01.16	M	Control	spleen	10000	0.3	0.04	0.0143	29
